,lbl,mean_test,mean_train,std_test,std_train,clf
0,0,0.251785408456881,9.119594570622858e-14,7.031030306905971,7.810289626254918,Ridge
1,0,0.15743859504567367,1.1812339724245959e-12,6.587776008220676,7.206658017805295,Lasso
2,0,-0.8560658365637234,0.07818193135645486,8.69963551600523,3.053299130267833,Random Forest
3,0,-0.6670088616114987,-1.9286710139222667e-12,6.603385444055338,1.3844446103756025,xgb
4,0,-7606.356204357322,-7608.3737560995405,481.48366909150616,506.6861768483399,mlp
5,0,0.12205220639797197,-0.003296243603886944,6.447688059193466,7.036121598847955,StackingClassifier
6,1,0.11859414882140275,1.1584349859980387e-13,4.019484059636367,4.274629756916331,Ridge
7,1,0.032257059362957474,1.5688167416760673e-12,2.4649489589218274,2.508291209149985,Lasso
8,1,-0.04472460671014306,0.010668129953519062,4.710486578467397,1.6213964290913785,Random Forest
9,1,-0.08723919525911844,1.766613353647009e-12,3.9564312704326214,0.6820238009461482,xgb
10,1,-7431.5285378391045,-7434.2303760142195,482.6274885258028,507.64030400280524,mlp
11,1,0.031113289061227692,6.070473487768922e-05,2.464627645382165,2.5056803632412326,StackingClassifier
12,2,0.11264379987508594,3.278124534845514e-13,4.066745908519243,4.323419201816553,Ridge
13,2,0.027918440984433038,4.36877875038622e-13,2.529529420273308,2.579365165596832,Lasso
14,2,-0.10586958812835144,0.010496341376659895,4.71352828436092,1.657116529302481,Random Forest
15,2,-0.30721653988342756,-1.287834638689309e-12,3.702575104147702,0.6769463811207925,xgb
16,2,-7430.9496389912465,-7433.649432273387,483.41476275783685,508.48236425083905,mlp
17,2,0.027097997241560586,-7.818619540343414e-05,2.5271620165598248,2.574219127350111,StackingClassifier
18,3,0.10766798836135373,4.2640266505885253e-13,4.106944952353614,4.355313287956266,Ridge
19,3,0.02383958832287553,8.971709253261406e-13,2.5775667808862455,2.6253378048756124,Lasso
20,3,-0.07118670223560518,0.016448869344763847,4.700824137542412,1.654276337550086,Random Forest
21,3,-0.22620383964794127,-3.418615586338893e-12,3.809403759477429,0.6613550694999315,xgb
22,3,-7430.559954018765,-7433.257213969069,483.94443492766777,509.0551128155291,mlp
23,3,0.023096327211766726,-5.487554981509995e-05,2.5752321941330827,2.6201479594611365,StackingClassifier
24,4,0.1080490659196265,6.611706063701572e-13,4.135011514119998,4.385672795173626,Ridge
25,4,0.02580146158422173,9.027166247271951e-13,2.6171792398672244,2.6695554569611426,Lasso
26,4,-0.058936141737460174,0.014633466039256667,4.7036005530140725,1.6441559876845033,Random Forest
27,4,-0.2440598440599437,-2.421622071793772e-13,4.084711829389488,0.6764385450149161,xgb
28,4,-7430.253013252785,-7432.951093829096,484.3568646262961,509.49584277597023,mlp
29,4,0.025018779277874076,-6.817175771480872e-05,2.6148352479392836,2.6641358491902056,StackingClassifier
30,5,0.10330032735303797,1.0321162774184654e-12,4.1537586915718165,4.408428702401994,Ridge
31,5,0.0217696170703282,1.727793457839628e-12,2.6452753602947134,2.702333886005651,Lasso
32,5,-0.0808661029971321,0.017017652278366036,4.8910770860638575,1.6980486420381846,Random Forest
33,5,-0.21054979328737072,-2.403136407123591e-14,4.04364652212706,0.7101816822662381,xgb
34,5,-7430.000980017664,-7432.69621136653,484.70119899899873,509.86545539485013,mlp
35,5,0.021075186098902566,-6.749562535554926e-05,2.643142721302696,2.6969918444264227,StackingClassifier
36,6,0.10331475583976694,-8.873119041687105e-13,4.173774300221561,4.4306740125519,Ridge
37,6,0.022516158097595187,-1.6760335967631198e-13,2.674823043053866,2.7338923996123503,Lasso
38,6,-0.07941440363006591,0.007053375060852795,4.7771629217728435,1.649057047986002,Random Forest
39,6,-0.22382312141520055,8.065911684422514e-13,3.8998351931367083,0.7069411210648565,xgb
40,6,-7429.78020410299,-7432.477547564828,485.00299927161853,510.18356656461157,mlp
41,6,0.021842789614112082,8.898587280452244e-06,2.672732205144451,2.7283976168699975,StackingClassifier
42,7,0.10044799777777223,-1.334664989187102e-12,4.195732605845187,4.451638380566033,Ridge
43,7,0.020452815317185014,-6.118755005830066e-13,2.701343015485989,2.76389610980882,Lasso
44,7,-0.10272437485274978,0.015902895772975604,4.855486483607035,1.679540780761743,Random Forest
45,7,-0.035801297199277785,6.420687528776363e-13,3.9728117490537107,0.7142534274765135,xgb
46,7,-7429.58256668159,-7432.279933846722,485.27449606658485,510.4703584164263,mlp
47,7,0.019750004930018977,-0.00012775613568675643,2.6992921989854692,2.7584081186123757,StackingClassifier
48,8,0.0980411609590413,1.5133597476655228e-12,4.212116711870857,4.468508358526366,Ridge
49,8,0.01809891981595659,9.563250522707212e-13,2.7260676886376305,2.7889930560077127,Lasso
50,8,-0.10886211342907258,0.01688685276034384,4.812362817735263,1.6817917016950485,Random Forest
51,8,-0.20544540808094688,1.1584349859980387e-13,4.294693128813644,0.7183881152115317,xgb
52,8,-7429.409618795303,-7432.105324796603,485.5106873161517,510.72304379952914,mlp
53,8,0.01732921586129836,-8.471584855150958e-05,2.7240878719844406,2.783715223653846,StackingClassifier
54,9,0.09392575331805494,3.1733724350478186e-13,4.227713817588441,4.482516827219581,Ridge
55,9,0.014661484765209122,1.5219863911782742e-13,2.746382740832729,2.80752129367782,Lasso
56,9,-0.09387497414946493,0.015341160167961143,4.851123495529825,1.6878313779419376,Random Forest
57,9,-0.40706344956604484,5.798336818213587e-13,4.112197052911301,0.697186568727395,xgb
58,9,-7429.244309146128,-7431.937114455652,485.73558907147896,510.96554883020235,mlp
59,9,0.01387257205691689,-0.0001234251533585646,2.744580034462356,2.8024894068499995,StackingClassifier
60,10,0.09447235957223785,1.9286710139222664e-13,4.242609618973291,4.497154784435373,Ridge
61,10,0.015916151445491925,7.394265868072587e-13,2.763697206866874,2.8280855135749423,Lasso
62,10,-0.09090579326898601,0.01575479392981291,4.846199897179416,1.6962966217298006,Random Forest
63,10,-0.21647025455341784,-3.82037069850417e-13,3.983784156517397,0.6869841035107344,xgb
64,10,-7429.092749858282,-7431.786687535514,485.9414074954292,511.1835655418531,mlp
65,10,0.015265420743548315,-2.8025235471141257e-05,2.761985133005192,2.823031465487232,StackingClassifier
66,11,0.09270213654644731,-4.0052273452059845e-14,4.258269696525393,4.512148578084713,Ridge
67,11,0.014165815674651468,7.314161321168467e-13,2.7831825558687298,2.8501791005495742,Lasso
68,11,-0.10889424094311097,0.015364520021237173,4.903215360496743,1.6872254339157358,Random Forest
69,11,-0.39729967165611607,-1.5712814969654248e-13,4.015960194697008,0.6726771847555066,xgb
70,11,-7428.953641687493,-7431.647339046619,486.1336771144637,511.3881773436697,mlp
71,11,0.013330251445478171,-6.279805616635674e-05,2.7811930752547243,2.8445483013104065,StackingClassifier
72,12,0.10260125973351465,2.2860605308791083e-13,4.3083443224812665,4.574045197373248,Ridge
73,12,0.0252258876847869,9.44617464646273e-13,2.873439415919314,2.9496954712908394,Lasso
74,12,-0.13510413831295778,0.014749513236875239,4.87878580204909,1.7051486205168518,Random Forest
75,12,-0.2737205259725793,9.218184782197158e-13,3.937409925480917,0.6991374609733197,xgb
76,12,-7429.081816170446,-7431.773573467938,485.90994032970184,511.1329706887123,mlp
